chart_position,title,artist,stream_count,date,track_id
1,Angst,"by Loredana, Rymez","34,580",03/11/2020,3R3rQ7FbTJdsi5She10YvI
2,Blinding Lights,by The Weeknd,"30,628",03/11/2020,0sf12qNH5qcw8qpgymFOqD
3,Roller,by Apache 207,"22,105",03/11/2020,6hw1Sy9wZ8UCxYGdpKrU6M
4,Sip,by Luciano,"21,486",03/11/2020,4D4tA2ara3ihoOvjupr8cG
5,100k Cash,"by Capital Bra, Samra","21,473",03/11/2020,033if6Adj8fwBYsQzHOfQ8
6,Dance Monkey,by Tones And I,"20,722",03/11/2020,1rgnBhdG2JDFTbYkYRZAku
7,Baby,"by Joker Bra, VIZE","20,066",03/11/2020,1V7JaMp11LKGwKiVmSetf0
8,Breaking Me,"by Topic, A7S","19,607",03/11/2020,3H7ihDc1dqLriiWXwsc2po
9,The Box,by Roddy Ricch,"19,060",03/11/2020,0nbXyq5TXYPCO7pr3N8S4I
10,6 Uhr,by Samra,"18,446",03/11/2020,57e7dy1hUpKVg1aUvKkx5R
11,Matrix,by Apache 207,"18,226",03/11/2020,7ygVaACDENw4PgLbN1awFE
12,Roses - Imanbek Remix,by SAINt JHN,"17,354",03/11/2020,24Yi9hE78yPEbZ4kxyoXAI
13,D A YYY T O N A,by Dardan,"17,078",03/11/2020,5Bj9rLRVpf5xxQwhlyOOeh
14,In Your Eyes (feat. Alida),by Robin Schulz,"17,011",03/11/2020,61ZM92T2zaXIVsqncThQzC
15,Don't Start Now,by Dua Lipa,"16,303",03/11/2020,6WrI0LAC5M1Rw2MnX2ZvEg
16,Godzilla (feat. Juice WRLD),by Eminem,"15,546",03/11/2020,7FIWs0pqAYbP91WWM0vlTQ
17,Falling,by Trevor Daniel,"15,308",03/11/2020,4TnjEaWOeW0eKTKIEvJyCa
18,Kein Wort,"by Juju, Loredana, Miksu / Macloud","14,752",03/11/2020,1hoLUVBx0ixX3kn0EX0P5n
19,Mios mit Bars,by Luciano,"14,119",03/11/2020,7Ek9e3eIuktIFjpDRQfmHE
20,Rich Rich,by Ufo361,"13,830",03/11/2020,3VFT90E0yYjdHSFoGv02us
21,U23 (feat. Z),by Mert,"12,954",03/11/2020,1iGM29PpHTyrra18Ft0w7O
22,Passt mir so gar nicht,by Joker Bra,"12,919",03/11/2020,7AUPR6VYsmTu8LwDuJVgCe
23,Intentions (feat. Quavo),by Justin Bieber,"12,654",03/11/2020,4umIPjkehX1r7uhmGvXiSV
24,Before You Go,by Lewis Capaldi,"12,589",03/11/2020,2gMXnyrvIjhVBUZwvLZDMP
25,Weiss,by Samra,"12,555",03/11/2020,38YP1STiBe3AZevFFJILf4
26,AUF WIEDERSEHEN,by Mozzik,"12,352",03/11/2020,6JZrs7FFUkTpinCxM1DG3E
27,Circles,by Post Malone,"12,154",03/11/2020,21jGcNKet2qwijlDFuPiPb
28,Donuts,by Gzuz,"11,944",03/11/2020,5XVPNr0CAoUn1jD033Ucoo
29,Moral of the Story,by Ashe,"11,938",03/11/2020,2nC3QhMI9reBIOWutbU3Tj
30,110,"by Capital Bra, Samra, LEA","11,802",03/11/2020,67ojvEGRPAUCOohuMPqoRC
31,Ride It,by Regard,"11,665",03/11/2020,2tnVG71enUj33Ic2nFN6kZ
32,Lass los,"by Dhurata Dora, Azet","11,496",03/11/2020,0K5vPCPPPQYzrKHc17qB1I
33,bad guy,by Billie Eilish,"11,138",03/11/2020,2Fxmhks0bxGSBdJ92vM42m
34,Close Your Eyes,"by Felix Jaehn, VIZE, Miss Li","11,128",03/11/2020,7N06jo3EnV792VFaG8vuW6
35,Someone You Loved,by Lewis Capaldi,"11,062",03/11/2020,7qEHsqek33rTcFNT9PFqLf
36,death bed (coffee for your head),"by Powfu, beabadoobee","11,011",03/11/2020,7eJMfftS33KTjuF7lTsMCx
37,What If I Told You That I Love You,by Ali Gatie,"10,901",03/11/2020,3cqPu20DGTGUoZtbJH2Dmi
38,ROXANNE,by Arizona Zervas,"10,800",03/11/2020,696DnlkuDOXcMAnKlTgXXK
39,Supalonely,"by BENEE, Gus Dapperton","10,670",03/11/2020,4nK5YrxbMGZstTLbvj6Gxw
40,200 km/h,by Apache 207,"10,451",03/11/2020,2PGA1AsJal6cyMNmKyE56q
41,No Time To Die,by Billie Eilish,"10,306",03/11/2020,73SpzrcaHk0RQPFP73vqVR
42,Skifahren (feat. Joshi Mizu),"by The Cratez, Bausa, Maxwell","10,199",03/11/2020,7qwWwsa6otLM0UOEamls4s
43,Tilidin,"by Capital Bra, Samra","10,092",03/11/2020,0Dlcu2fgHklOnajVu2dUNU
44,Say So,by Doja Cat,"10,070",03/11/2020,3Dv1eDb0MEgF93GpLXlucZ
45,Life Is Good (feat. Drake),by Future,"9,890",03/11/2020,5yY9lUy8nbvjM1Uyo1Uqoc
46,You should be sad,by Halsey,"9,706",03/11/2020,7lidXGPXPYLNThITAOTlkK
47,Memories,by Maroon 5,"9,535",03/11/2020,2b8fOow8UzyDFAE27YhOZM
48,Mon Ami,by Samra,"9,371",03/11/2020,1R4xkZXQUQ8QJtAdwHkSgC
49,Zu Ende,"by Samra, ELIF","9,370",03/11/2020,0Vl4eICpXMjtiK0RhdaWov
50,Schüsse im Regen,by Samra,"8,953",03/11/2020,3RgJvQlTg7tp5mXtylDXYx
