chart_position,title,artist,stream_count,date,track_id
1,Blinding Lights,by The Weeknd,"45,727",03/11/2020,0sf12qNH5qcw8qpgymFOqD
2,Lettre à une femme,by Ninho,"45,160",03/11/2020,5HEtuK03ygUzqca6yfgOYZ
3,Dance Monkey,by Tones And I,"41,170",03/11/2020,1rgnBhdG2JDFTbYkYRZAku
4,The Box,by Roddy Ricch,"35,028",03/11/2020,0nbXyq5TXYPCO7pr3N8S4I
5,Angst,"by Loredana, Rymez","34,454",03/11/2020,3R3rQ7FbTJdsi5She10YvI
6,Roses - Imanbek Remix,by SAINt JHN,"29,071",03/11/2020,24Yi9hE78yPEbZ4kxyoXAI
7,Tusa,"by KAROL G, Nicki Minaj","26,425",03/11/2020,7k4t7uLgtOxPwTpFmtJNTY
8,Don't Start Now,by Dua Lipa,"24,666",03/11/2020,6WrI0LAC5M1Rw2MnX2ZvEg
9,Falling,by Trevor Daniel,"22,164",03/11/2020,4TnjEaWOeW0eKTKIEvJyCa
10,100k Cash,"by Capital Bra, Samra","21,664",03/11/2020,033if6Adj8fwBYsQzHOfQ8
11,6 Uhr,by Samra,"21,090",03/11/2020,57e7dy1hUpKVg1aUvKkx5R
12,Someone You Loved,by Lewis Capaldi,"20,924",03/11/2020,7qEHsqek33rTcFNT9PFqLf
13,Sip,by Luciano,"20,735",03/11/2020,4D4tA2ara3ihoOvjupr8cG
14,Before You Go,by Lewis Capaldi,"20,529",03/11/2020,2gMXnyrvIjhVBUZwvLZDMP
15,ROXANNE,by Arizona Zervas,"20,454",03/11/2020,696DnlkuDOXcMAnKlTgXXK
16,Godzilla (feat. Juice WRLD),by Eminem,"20,322",03/11/2020,7FIWs0pqAYbP91WWM0vlTQ
17,Roller,by Apache 207,"20,225",03/11/2020,6hw1Sy9wZ8UCxYGdpKrU6M
18,No Time To Die,by Billie Eilish,"19,978",03/11/2020,73SpzrcaHk0RQPFP73vqVR
19,Breaking Me,"by Topic, A7S","19,178",03/11/2020,3H7ihDc1dqLriiWXwsc2po
20,Ride It,by Regard,"19,124",03/11/2020,2tnVG71enUj33Ic2nFN6kZ
21,Intentions (feat. Quavo),by Justin Bieber,"18,401",03/11/2020,4umIPjkehX1r7uhmGvXiSV
22,Promo (feat. Damso),by Ninho,"18,060",03/11/2020,1l3WcVBNpaXBIWGYefPV9b
23,Life Is Good (feat. Drake),by Future,"17,273",03/11/2020,5yY9lUy8nbvjM1Uyo1Uqoc
24,death bed (coffee for your head),"by Powfu, beabadoobee","17,239",03/11/2020,7eJMfftS33KTjuF7lTsMCx
25,D A YYY T O N A,by Dardan,"17,214",03/11/2020,5Bj9rLRVpf5xxQwhlyOOeh
26,everything i wanted,by Billie Eilish,"17,106",03/11/2020,3ZCTVFBt2Brf31RLEnCkWJ
27,What If I Told You That I Love You,by Ali Gatie,"17,067",03/11/2020,3cqPu20DGTGUoZtbJH2Dmi
28,Lass los,"by Dhurata Dora, Azet","16,838",03/11/2020,0K5vPCPPPQYzrKHc17qB1I
29,Some Say,by Nea,"16,711",03/11/2020,4poybupy26pTWPr9zY1i7h
30,Say So,by Doja Cat,"16,533",03/11/2020,3Dv1eDb0MEgF93GpLXlucZ
31,In Your Eyes (feat. Alida),by Robin Schulz,"15,959",03/11/2020,61ZM92T2zaXIVsqncThQzC
32,Matrix,by Apache 207,"15,878",03/11/2020,7ygVaACDENw4PgLbN1awFE
33,bad guy,by Billie Eilish,"15,671",03/11/2020,2Fxmhks0bxGSBdJ92vM42m
34,Sunday Best,by Surfaces,"15,460",03/11/2020,1Cv1YLb4q0RzL6pybtaMLo
35,RITMO (Bad Boys For Life),"by Black Eyed Peas, J Balvin","15,111",03/11/2020,6cy3ki60hLwimwIje7tALf
36,Lose Control,"by MEDUZA, Becky Hill, Goodboys","15,065",03/11/2020,7CHi4DtfK4heMlQaudCuHK
37,Memories,by Maroon 5,"14,968",03/11/2020,2b8fOow8UzyDFAE27YhOZM
38,Moral of the Story,by Ashe,"14,893",03/11/2020,2nC3QhMI9reBIOWutbU3Tj
39,Every day (feat. Griff),by Ninho,"14,573",03/11/2020,1AItNk9SzkLHmjWrEz4XvW
40,Ignorantes,"by Bad Bunny, Sech","14,326",03/11/2020,38RIEav39FGi86jppxO0du
41,Weiss,by Samra,"14,226",03/11/2020,38YP1STiBe3AZevFFJILf4
42,Circles,by Post Malone,"14,191",03/11/2020,21jGcNKet2qwijlDFuPiPb
43,Señorita,"by Shawn Mendes, Camila Cabello","14,125",03/11/2020,6v3KW9xbzN5yKLt9YKDYA2
44,Mios mit Bars,by Luciano,"14,097",03/11/2020,7Ek9e3eIuktIFjpDRQfmHE
45,La puerta,by Ninho,"13,787",03/11/2020,6hSrPj9ikfFsxE04iVYvCa
46,Baby,"by Joker Bra, VIZE","13,551",03/11/2020,1V7JaMp11LKGwKiVmSetf0
47,U23 (feat. Z),by Mert,"13,440",03/11/2020,1iGM29PpHTyrra18Ft0w7O
48,You should be sad,by Halsey,"13,283",03/11/2020,7lidXGPXPYLNThITAOTlkK
49,Zipette,by Ninho,"13,161",03/11/2020,1Lulg5ZiMEXy3QNwb1PB8I
50,La Difícil,by Bad Bunny,"12,647",03/11/2020,6NfrH0ANGmgBXyxgV2PeXt
51,110,"by Capital Bra, Samra, LEA","12,628",03/11/2020,67ojvEGRPAUCOohuMPqoRC
52,Blueberry Faygo,by Lil Mosey,"12,334",03/11/2020,22LAwLoDA5b4AaGSkg6bKW
53,Le jeu (feat. Yaro),by Ninho,"12,059",03/11/2020,1malvU2QXTWKhVbQaCsCnE
54,Centre commercial (feat. Heuss L'enfoiré),by Ninho,"11,972",03/11/2020,4qDRw32NwvsGhQ4a9evbMm
55,P2,by Lil Uzi Vert,"11,586",03/11/2020,3kW4z2pIj5VY5fLjBrMRL5
56,Yummy,by Justin Bieber,"11,569",03/11/2020,16wAOAZ2OkqoIDN7TpChjR
57,AUF WIEDERSEHEN,by Mozzik,"11,509",03/11/2020,6JZrs7FFUkTpinCxM1DG3E
58,Supalonely,"by BENEE, Gus Dapperton","11,503",03/11/2020,4nK5YrxbMGZstTLbvj6Gxw
59,Physical,by Dua Lipa,"11,391",03/11/2020,5px6upUHM3fhOP621Edp4V
60,Rich Rich,by Ufo361,"11,344",03/11/2020,3VFT90E0yYjdHSFoGv02us
61,En chien,by Ninho,"11,271",03/11/2020,4vWalWi55l3pa9zh4X7NBx
62,Stupid Love,by Lady Gaga,"11,267",03/11/2020,2kJu14V7hbZw3I4K8L8SXb
