chart_position,title,artist,stream_count,date,track_id
1,Wolke 10,by MERO,"1,139,265",03/11/2019,14f1n3XCW3fQhAODW0CwLK
2,Gib Ihm,by SHIRIN DAVID,"460,587",03/11/2019,5iIgIxtMNeogKaFUfvuAbs
3,DNA,"by KC Rebell, Summer Cem, Capital Bra","446,243",03/11/2019,4BD9yUEFI07WaDJ381DDMq
4,Kamehameha,"by Azet, Zuna","352,668",03/11/2019,0qzX2dAs1otoAABKNHUwRb
5,Capital Bra je m'appelle,by Capital Bra,"329,751",03/11/2019,6VMAFT0zfide2Jg8MVZAPz
6,Fragen,"by Azet, Zuna","327,858",03/11/2019,3gs4lX2JSAFc8v8piogE3i
7,Ferrari,"by Eno, MERO","294,466",03/11/2019,4AgK0CwpwcekXVdAoYB2VO
8,Prinzessa,by Capital Bra,"282,143",03/11/2019,7r55d7IhAj5UGKiYbXBwRP
9,Hobby Hobby,by MERO,"253,606",03/11/2019,260R90ctQ1SiPax90PuEsT
10,7 rings,by Ariana Grande,"239,115",03/11/2019,6ocbgoVGwYJhOv1GgI9NsF
11,Sweet but Psycho,by Ava Max,"238,554",03/11/2019,25sgk305KZfyuqVBQIahim
12,Hallo Hallo,"by Azet, Zuna","222,621",03/11/2019,0RjhrAgD7bSYBi0fyqX616
13,Look Back at It,by A Boogie Wit da Hoodie,"217,347",03/11/2019,3Ol2xnObFdKV9pmRD2t9x8
14,Con Calma,"by Daddy Yankee, Snow","215,888",03/11/2019,5w9c2J52mkdntKOmRLeM2m
15,Wow.,by Post Malone,"214,326",03/11/2019,6MWtB6iiXyIwun0YzU6DFP
16,Diablo,by Luciano,"205,749",03/11/2019,2myuZYePLUQV4I9KDbMmiW
17,Pam Pam,"by Azet, Zuna","204,709",03/11/2019,7varEevkxnTyw3qufGfE6V
18,Speechless (feat. Erika Sirola),by Robin Schulz,"201,521",03/11/2019,1rCcsYnmqbMYdkG7kS9GC5
19,Baller los,by MERO,"195,734",03/11/2019,1IPRghUN3LFPNbCTsfBJx9
20,Benzema,by Capital Bra,"194,318",03/11/2019,7KPGeiXWDsGEvFK62wzU8E
21,Giant (with Rag'n'Bone Man),by Calvin Harris,"192,338",03/11/2019,5itOtNx0WxtJmi1TQ3RuRd
22,Sucker,by Jonas Brothers,"189,072",03/11/2019,4y3OI86AEP6PQoDE6olYhO
23,JAJA,by Fero47,"186,958",03/11/2019,5z3vuYzS9UF6rD6TmBEdUf
24,ROMEO & JULIET,"by Loredana, Mozzik","184,912",03/11/2019,3uB8KqnEoQq5bTQ1JFHJ7Y
25,Deine Mutter,"by Kool Savas, Nessi","181,583",03/11/2019,4y8xXLG9O3Rbl6e1KaNRTG
26,Pare,"by Azet, Zuna","177,571",03/11/2019,2E65WRtNfdWZjnIEaah9fA
27,Yapma,by C ARMA,"175,569",03/11/2019,1194zYf7UfSXP4omxVTmPa
28,"break up with your girlfriend, i'm bored",by Ariana Grande,"174,845",03/11/2019,4kV4N9D1iKVxx1KLvtTpjS
29,500 PS,"by Bonez MC, RAF Camora","169,260",03/11/2019,4UOXo3xWnxYdTf3sFyRaUG
30,Viva la Dealer,"by SDP, Capital Bra","168,370",03/11/2019,2vuFdbSOLje3khV4rLSEpm
31,Road2Goat,by Shindy,"168,263",03/11/2019,7jmyKXzjmjgmloEBZdFIRn
32,Lelele,"by Azet, Zuna","167,008",03/11/2019,61A9J4906Zkuqd22oasZVR
33,i'm so tired...,"by Lauv, Troye Sivan","164,863",03/11/2019,7COXchtUOMd6uIT6HvmRaI
34,So stell ich mir das vor,by 18 Karat,"164,851",03/11/2019,4xguhUOQ0YeguPC9Q3JSfz
35,Don't Call Me Up,by Mabel,"161,442",03/11/2019,5WHTFyqSii0lmT9R21abT8
36,Dresscode Gucci,by Joker Bra,"154,562",03/11/2019,1bdX9WfgtGmkczxGli2zmi
37,Shallow,"by Lady Gaga, Bradley Cooper","154,029",03/11/2019,2VxeLyX666F8uXCJ0dZF8B
38,High Hopes,by Panic! At The Disco,"153,500",03/11/2019,1rqqCSm0Qe4I9rUvWncaom
39,Tausend Tattoos,by Sido,"151,699",03/11/2019,2PAYSgrVOBz8RJqp9B7QLu
40,Let Me Down Slowly,by Alec Benjamin,"151,541",03/11/2019,2qxmye6gAegTMjLKEBoR3d
41,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",by KitschKrieg,"150,079",03/11/2019,4Nip6oiJU24LqcUEi7u19S
42,Nese Don,"by Azet, Zuna, RAF Camora","144,422",03/11/2019,1EBK8F9hcrAQo2OGJ66ILb
43,Wenn die Sonne untergeht,"by Azet, Zuna","141,192",03/11/2019,6eWgN8PoowGfqvDYVPxZAq
44,G Klasse (feat. Lil Lano & M.O.030),by King Khalil,"136,835",03/11/2019,6Xt6kg1kGrZCi4gJhijxeT
45,DODI,by Shindy,"136,562",03/11/2019,63THFs9ovzO3WQsz4lzh0H
46,Leyla,"by Nimo, Capo","135,643",03/11/2019,08OFGhKf7mK1BGhzMtXaqo
47,WTF (feat. Amber Van Day),by HUGEL,"134,751",03/11/2019,0gn93i7HJt0calph67R5Wu
48,Licht (feat. Dardan),by Bausa,"134,278",03/11/2019,07zfbHDB3sGLROy9jVyTLP
49,Fading,"by Alle Farben, ILIRA","133,755",03/11/2019,2RP8Svo0pMwZXnVcmOffDw
50,Without Me,by Halsey,"131,675",03/11/2019,5p7ujcrUXASCNwRaWNHR1C
51,Power Over Me,by Dermot Kennedy,"129,154",03/11/2019,0OGNtqKkjI7FCE9HZ4Khgo
52,Ist es wahr,"by Azet, Zuna","127,779",03/11/2019,4CBmq7qDSuIna6QhW11hYv
53,bury a friend,by Billie Eilish,"125,987",03/11/2019,4NzMOnvSJVNKF7nw5NkXIP
54,So Close,"by NOTD, Felix Jaehn, Captain Cuts, Georgia Ku","120,564",03/11/2019,7FjZU7XFs7P9jHI9Z0yRhK
55,In My Mind,"by Dynoro, Gigi D'Agostino","119,778",03/11/2019,0E9ZjEAyAwOXZ7wJC0PD33
56,Nur ein Tanz,by Pietro Lombardi,"118,908",03/11/2019,6oaNpCVXUtmG0eKxsPO6Uf
57,Moonlight,by Gaullin,"117,460",03/11/2019,0A5gdlrpAuQqZ2iFgnqBFW
58,"5 Minuten (feat. Cro, AnnenMayKantereit & Trettmann)",by KitschKrieg,"114,751",03/11/2019,1rciHe0jRJnF3J6CuAwOH0
59,Facetime - Remix,"by Dardan, Bausa, reezy","112,182",03/11/2019,65ABT1Rjw8P6QDo0NDNtrW
60,Geld verdammt,"by Azet, Zuna, Miami Yacine","110,290",03/11/2019,4l39FpxE1Gq0G6T2wMaabb
61,Zieh,"by Azet, Zuna","109,258",03/11/2019,0EDfHoIv0QzEybexqdnYkI
62,Ghetto,"by Azet, Zuna","106,102",03/11/2019,0zhIsKJiASrRn0k3kRLnAj
63,Happier,"by Marshmello, Bastille","103,901",03/11/2019,2dpaYNEQHiRxtZbfNsse99
64,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",by benny blanco,"102,251",03/11/2019,1WSGTYKLEpKfNQYYW5Oymt
65,Intro,by Juju,"102,046",03/11/2019,4wW6VRscjuToZbt5zrxNFR
66,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",by DJ Snake,"101,034",03/11/2019,4w8niZpiMy6qz1mntFA5uM
67,Say My Name,"by David Guetta, Bebe Rexha, J Balvin","100,922",03/11/2019,0YammaEkYSeo9vQYZ1OwS6
68,Kokain,"by Bonez MC, RAF Camora, Gzuz","100,762",03/11/2019,4Bj3usjRTckEJARO0dLbDf
69,Dancing With A Stranger (with Normani),by Sam Smith,"100,398",03/11/2019,6Qs4SXO9dwPj5GKvVOv8Ki
70,Someone You Loved,by Lewis Capaldi,"100,380",03/11/2019,2TIlqbIneP0ZY1O0EzYLlc
71,Perfekt (feat. Sofiane),"by RAF Camora, AriBeatz","100,335",03/11/2019,38KR9aB0bPkjM4gKhKr7tr
72,HaifischNikez Allstars,"by LX, Maxwell, Bonez MC, Gzuz, Sa4","99,271",03/11/2019,0kLA41xkWzzYzMIEGFuDkP
73,Be Alright,by Dean Lewis,"98,358",03/11/2019,3EPXxR3ImUwfayaurPi3cm
74,Robbery,by Juice WRLD,"97,542",03/11/2019,6Hj9jySrnFppAI0sEMCZpJ
75,Warnung,by Kontra K,"96,541",03/11/2019,3OgD9c7c6GhEWUK660Ezbr
76,Bad Liar,by Imagine Dragons,"94,913",03/11/2019,2RSHsoi04658QL5xgQVov3
77,Sunflower - Spider-Man: Into the Spider-Verse,"by Post Malone, Swae Lee","93,245",03/11/2019,3KkXRkHbMCARz0aVfEt68P
78,Cataleya,by Samra,"92,324",03/11/2019,3MrTi2XjvQCZm8V1P1ryuR
79,2x,by Mathea,"89,707",03/11/2019,2pu5rVWy3zPlgypJzL3Mlw
80,thank you,by Lena,"89,630",03/11/2019,3uCZ4IqMY54A0jxRkyPGPl
81,Fast,by Juice WRLD,"89,477",03/11/2019,6MjNilJCVKJq0LfFvo5jWJ
82,Baui Coupé,"by Diplo, Bausa","89,143",03/11/2019,4J2c8Mk8stfWPzt1u0G90W
83,Facetime,by Dardan,"88,445",03/11/2019,0oZyouBDStcJEUbTmSfys2
84,Body (feat. brando),by Loud Luxury,"88,411",03/11/2019,7K7MUBCnzgBAvMVW2RTWNs
85,wish you were gay,by Billie Eilish,"87,522",03/11/2019,4txc3txsIt81diMzGhrVPS
86,Skam Koh,"by Azet, Zuna","87,455",03/11/2019,7DPU8m1PkKE6t1uekL4Fm4
87,Zoey,"by Nimo, Capo","87,365",03/11/2019,0dGSOCj6hdV5Nr0V8FjONc
88,Ich liebe es (feat. XATAR & SAMY),by Capital Bra,"87,107",03/11/2019,71XGMPKmWtVxO7bGcGZhbn
89,Trance,by Qzeng,"86,786",03/11/2019,5eA0fLfQRw9WuX34ZRPvAT
90,Casanova,"by Summer Cem, Bausa","86,210",03/11/2019,0jB0RNZIfaihaDKNmdrI40
91,#niemalsantäuschen,by Farid Bang,"85,277",03/11/2019,4mI0sGmXHviRF9QbY4bfq7
92,Shem Shem & Sex,"by Nimo, Capo","85,214",03/11/2019,6ujq8IjOGkbJrp09qarW1E
93,Baila Baila Baila,by Ozuna,"84,006",03/11/2019,7uH27oIt4a6cIFCA8ZPcyG
94,mbappé,by KALIM,"82,731",03/11/2019,1jqMY73LS0o0WrtT0mha5R
95,Melodien (feat. Juju),by Capital Bra,"82,336",03/11/2019,5d35jcJj7WjDQBOHCHPY6t
96,Dior 2001,by RIN,"82,326",03/11/2019,2eNSyVH3sNPiAj9WpRYK73
97,Wild Stare,by Giant Rooks,"81,962",03/11/2019,2SClPoLfPJmwrr3EyfgRTS
